PartitionKey,FileType,ObjectName,HighLevelObject,ObjectDb,FileName,LineNumber,LinesOfCode,HighestEWISeverity,ConversionStatus,EWIs,UDFsUsed,NameOfUDFFiles,ConversionPercentage,EWIsNumber
9672d284-b203-4768-90fb-39c1c02004ff,SQL,TABLE0,CREATE TABLE,Undefined DB name,SQL_BasicSample.sql,1,7,,Fully Converted,,,,100%,0
9672d284-b203-4768-90fb-39c1c02004ff,SQL,TABLE1,CREATE TABLE,Undefined DB name,SQL_BasicSample.sql,9,5,,Fully Converted,,,,100%,0
9672d284-b203-4768-90fb-39c1c02004ff,SQL,TABLE2,CREATE TABLE,Undefined DB name,SQL_BasicSample.sql,15,5,,Fully Converted,,,,100%,0
9672d284-b203-4768-90fb-39c1c02004ff,SQL,ERROR1,CREATE / REPLACE PROCEDURE,PROC,SQL_BasicSample.sql,22,6,,Fully Converted,,,,100%,0
9672d284-b203-4768-90fb-39c1c02004ff,SQL,ERROR2,CREATE / REPLACE PROCEDURE,PROC,SQL_BasicSample.sql,30,4,,Fully Converted,,,,100%,0
9672d284-b203-4768-90fb-39c1c02004ff,SQL,DYNAMIC_RESULT_SETS,CREATE / REPLACE PROCEDURE,SNOWCONVERT,SQL_BasicSample.sql,36,8,,Fully Converted,,,,100%,0
9672d284-b203-4768-90fb-39c1c02004ff,SQL,JoinName,CREATE JOIN INDEX,DataBaseName1,SQL_BasicSample.sql,45,3,,Fully Converted,,,,100%,0
9672d284-b203-4768-90fb-39c1c02004ff,SQL,new_emp1oyee,CREATE MACRO,Undefined DB name,SQL_BasicSample.sql,49,13,Low,Fully Converted,MSCEWI1022,,,100%,1
9672d284-b203-4768-90fb-39c1c02004ff,SQL,calc1,CREATE FUNCTION,Undefined DB name,SQL_BasicSample.sql,63,13,,Fully Converted,,,,100%,0
9672d284-b203-4768-90fb-39c1c02004ff,SQL,myudf,CREATE FUNCTION,test,SQL_BasicSample.sql,77,11,Low,Fully Converted,MSCEWI1020 | MSCEWI2053,PERIOD_END_UDF,PERIOD_UDF.sql,100%,2
9672d284-b203-4768-90fb-39c1c02004ff,SQL,JAVA$CLASS$MD5$TABLE,CREATE / REPLACE VIEW,ZAI_P_Source,SQL_BasicSample.sql,89,19,Low,Fully Converted,MSCEWI1050,,,100%,1
9672d284-b203-4768-90fb-39c1c02004ff,SQL,NEWVIEW,CREATE / REPLACE VIEW,PUBLIC,SQL_BasicSample.sql,109,8,,Fully Converted,,,,100%,0
